Function	中文-自动化变异详情	中文-疾病名称	ExIn_ID	中文-突变判定	参考文献-标准	Gene Symbol	Chr	Transcript	英文-疾病名称	遗传模式	疾病背景（CH）	治疗与干预（中文）	发病率(中文)	新生儿一体机包装变异
-α3.7	该变异为缺失变异，会导致一个α基因发生缺失。已有该变异致病性的相关文献报道 [1-2]。依据ACMG指南，HBA1/HBA2基因的-α3.7变异为致病变异。	α-地中海贫血		致病变异	Xu XM, et al. The prevalence and spectrum of alpha and beta thalassaemia in Guangdong Province: implications for the future health burden and population screening.J Clin Pathol. 2004 May;57(5):517-22<br/>Shang X, et al. Rapid Targeted Next-Generation Sequencing Platform for Molecular Screening and Clinical Genotyping in Subjects with Hemoglobinopathies.EBioMedicine. 2017 Sep;23:150-159	HBA1/HBA2	16	NM_000558.3/NM_000517.4	Alpha-thalassemia	AR	α-地中海贫血是一种遗传性血红蛋白病，其特征是α珠蛋白链合成受损，临床表现依受影响的等位基因数量而异。α-地中海贫血有四种型别，分别是重型α-地贫（血红蛋白Bart胎儿水肿综合征）、中间型α-地贫（HbH病）、轻型α-地贫（标准型）和静止型α-地贫。该疾病表现为小红细胞症和低色素性贫血。轻型贫血仅表现为常规血液检查异常，无其他症状。HbH型患者表现为中度溶血性贫血，伴有不同数量的血红蛋白H，偶有严重脾肿大、脾功能亢进。Hb Bart胎儿水肿综合征表现为α-珠蛋白严重缺乏、严重的发育障碍。	输注红细胞可能对出现溶血/再生障碍的HbH型患者是有效的；应监测HbH型患者发热时的溶血/再生障碍；应监测评估是否需要去铁治疗；HbH型患者应该避免不适当的铁剂治疗、氧化剂药物（如磺胺剂）、某些抗疟药；不同突变可能会导致不同的血液病（如溶血性贫血），基因诊断有助于疾病的早期诊断和治疗，避免不必要的治疗（如在海因茨小体贫血中的脾切除）。	该疾病在热带和亚热带地区比较高发。资料显示，在广西、云南、广东、海南等南方省区，地中海贫血基因携带率高达11%~24%。若无任何筛查，地中海贫血在我国的发病率约为0.66/100新生儿。	是
-α4.2	该变异为缺失变异，会导致一个α基因发生缺失。已有该变异致病性的相关文献报道 [1-2]。依据ACMG指南，HBA1/HBA2基因的-α4.2变异为致病变异。	α-地中海贫血		致病变异	Xu XM, et al. The prevalence and spectrum of alpha and beta thalassaemia in Guangdong Province: implications for the future health burden and population screening.J Clin Pathol. 2004 May;57(5):517-22<br/>Ou-Yang H, et al. Rapid, accurate genotyping of the common -alpha(4.2) thalassaemia deletion based on the use of denaturing HPLC.J Clin Pathol. 2004 Feb;57(2):159-63	HBA1/HBA2	16	NM_000558.3/NM_000517.4	Alpha-thalassemia	AR	α-地中海贫血是一种遗传性血红蛋白病，其特征是α珠蛋白链合成受损，临床表现依受影响的等位基因数量而异。α-地中海贫血有四种型别，分别是重型α-地贫（血红蛋白Bart胎儿水肿综合征）、中间型α-地贫（HbH病）、轻型α-地贫（标准型）和静止型α-地贫。该疾病表现为小红细胞症和低色素性贫血。轻型贫血仅表现为常规血液检查异常，无其他症状。HbH型患者表现为中度溶血性贫血，伴有不同数量的血红蛋白H，偶有严重脾肿大、脾功能亢进。Hb Bart胎儿水肿综合征表现为α-珠蛋白严重缺乏、严重的发育障碍。	输注红细胞可能对出现溶血/再生障碍的HbH型患者是有效的；应监测HbH型患者发热时的溶血/再生障碍；应监测评估是否需要去铁治疗；HbH型患者应该避免不适当的铁剂治疗、氧化剂药物（如磺胺剂）、某些抗疟药；不同突变可能会导致不同的血液病（如溶血性贫血），基因诊断有助于疾病的早期诊断和治疗，避免不必要的治疗（如在海因茨小体贫血中的脾切除）。	该疾病在热带和亚热带地区比较高发。资料显示，在广西、云南、广东、海南等南方省区，地中海贫血基因携带率高达11%~24%。若无任何筛查，地中海贫血在我国的发病率约为0.66/100新生儿。	是
--SEA	该变异为缺失变异，会导致两个α基因发生缺失。已有该变异致病性的相关文献报道 [1-2]。依据ACMG指南，HBA1/HBA2基因的--SEA变异为致病变异。	α-地中海贫血		致病变异	Xu XM, et al. The prevalence and spectrum of alpha and beta thalassaemia in Guangdong Province: implications for the future health burden and population screening.J Clin Pathol. 2004 May;57(5):517-22<br/>Shang X, et al. Rapid Targeted Next-Generation Sequencing Platform for Molecular Screening and Clinical Genotyping in Subjects with Hemoglobinopathies.EBioMedicine. 2017 Sep;23:150-159	HBA1/HBA2	16	NM_000558.3/NM_000517.4	Alpha-thalassemia	AR	α-地中海贫血是一种遗传性血红蛋白病，其特征是α珠蛋白链合成受损，临床表现依受影响的等位基因数量而异。α-地中海贫血有四种型别，分别是重型α-地贫（血红蛋白Bart胎儿水肿综合征）、中间型α-地贫（HbH病）、轻型α-地贫（标准型）和静止型α-地贫。该疾病表现为小红细胞症和低色素性贫血。轻型贫血仅表现为常规血液检查异常，无其他症状。HbH型患者表现为中度溶血性贫血，伴有不同数量的血红蛋白H，偶有严重脾肿大、脾功能亢进。Hb Bart胎儿水肿综合征表现为α-珠蛋白严重缺乏、严重的发育障碍。	输注红细胞可能对出现溶血/再生障碍的HbH型患者是有效的；应监测HbH型患者发热时的溶血/再生障碍；应监测评估是否需要去铁治疗；HbH型患者应该避免不适当的铁剂治疗、氧化剂药物（如磺胺剂）、某些抗疟药；不同突变可能会导致不同的血液病（如溶血性贫血），基因诊断有助于疾病的早期诊断和治疗，避免不必要的治疗（如在海因茨小体贫血中的脾切除）。	该疾病在热带和亚热带地区比较高发。资料显示，在广西、云南、广东、海南等南方省区，地中海贫血基因携带率高达11%~24%。若无任何筛查，地中海贫血在我国的发病率约为0.66/100新生儿。	是
--FIL	该变异为缺失变异，会导致两个α基因发生缺失。已有该变异致病性的相关文献报道 [1]。依据ACMG指南，HBA1/HBA2基因的--FIL变异为致病变异。	α-地中海贫血		致病变异	Hofgärtner W T, et al, Tait J F. Frequency of deletional α-thalassemia genotypes in a predominantly Asian-American population. American journal of clinical pathology, 1997, 107(5): 576-581	HBA1/HBA2	16	NM_000558.3/NM_000517.4	Alpha-thalassemia	AR	α-地中海贫血是一种遗传性血红蛋白病，其特征是α珠蛋白链合成受损，临床表现依受影响的等位基因数量而异。α-地中海贫血有四种型别，分别是重型α-地贫（血红蛋白Bart胎儿水肿综合征）、中间型α-地贫（HbH病）、轻型α-地贫（标准型）和静止型α-地贫。该疾病表现为小红细胞症和低色素性贫血。轻型贫血仅表现为常规血液检查异常，无其他症状。HbH型患者表现为中度溶血性贫血，伴有不同数量的血红蛋白H，偶有严重脾肿大、脾功能亢进。Hb Bart胎儿水肿综合征表现为α-珠蛋白严重缺乏、严重的发育障碍。	输注红细胞可能对出现溶血/再生障碍的HbH型患者是有效的；应监测HbH型患者发热时的溶血/再生障碍；应监测评估是否需要去铁治疗；HbH型患者应该避免不适当的铁剂治疗、氧化剂药物（如磺胺剂）、某些抗疟药；不同突变可能会导致不同的血液病（如溶血性贫血），基因诊断有助于疾病的早期诊断和治疗，避免不必要的治疗（如在海因茨小体贫血中的脾切除）。	该疾病在热带和亚热带地区比较高发。资料显示，在广西、云南、广东、海南等南方省区，地中海贫血基因携带率高达11%~24%。若无任何筛查，地中海贫血在我国的发病率约为0.66/100新生儿。	是
--THAI	该变异为缺失变异，会导致两个α基因发生缺失。已有该变异致病性的相关文献报道 [1]。依据ACMG指南，HBA1/HBA2基因的--THAI变异为致病变异。	α-地中海贫血		致病变异	Li D Z, et al. Prevention of Hb Bart’s (γ 4) Disease Associated with the––THAI α 0-Thalassemia Deletion in Mainland China. Hemoglobin, 2015, 39(6): 412-414	HBA1/HBA2	16	NM_000558.3/NM_000517.4	Alpha-thalassemia	AR	α-地中海贫血是一种遗传性血红蛋白病，其特征是α珠蛋白链合成受损，临床表现依受影响的等位基因数量而异。α-地中海贫血有四种型别，分别是重型α-地贫（血红蛋白Bart胎儿水肿综合征）、中间型α-地贫（HbH病）、轻型α-地贫（标准型）和静止型α-地贫。该疾病表现为小红细胞症和低色素性贫血。轻型贫血仅表现为常规血液检查异常，无其他症状。HbH型患者表现为中度溶血性贫血，伴有不同数量的血红蛋白H，偶有严重脾肿大、脾功能亢进。Hb Bart胎儿水肿综合征表现为α-珠蛋白严重缺乏、严重的发育障碍。	输注红细胞可能对出现溶血/再生障碍的HbH型患者是有效的；应监测HbH型患者发热时的溶血/再生障碍；应监测评估是否需要去铁治疗；HbH型患者应该避免不适当的铁剂治疗、氧化剂药物（如磺胺剂）、某些抗疟药；不同突变可能会导致不同的血液病（如溶血性贫血），基因诊断有助于疾病的早期诊断和治疗，避免不必要的治疗（如在海因茨小体贫血中的脾切除）。	该疾病在热带和亚热带地区比较高发。资料显示，在广西、云南、广东、海南等南方省区，地中海贫血基因携带率高达11%~24%。若无任何筛查，地中海贫血在我国的发病率约为0.66/100新生儿。	是
Chinese	该变异为缺失变异，会导致β基因缺失。已有该变异致病性的相关文献报道 [1]。依据ACMG指南，HBB基因的Chinese变异为致病变异。	β-地中海贫血		致病变异	He S, et al. The prevalence and molecular characterization of (δβ) 0‐thalassemia and hereditary persistence of fetal hemoglobin in the Chinese Zhuang population. Journal of clinical laboratory analysis, 2018, 32(3): e22304	HBB	11	NM_000518.4	Beta-thalassemia	AR	β-地中海贫血是一种常染色体隐性遗传疾病，该病的特征是血红蛋白β亚基（血红蛋白β链）合成减少，导致小细胞低色素性贫血，外周血涂片显示核红细胞异形明显，血红蛋白a数目减少。地中海贫血患者一般都有严重的贫血和肝脾肿大。如不治疗，受累儿童会有严重的发育停滞并且会缩短寿命。HBB基因突变是已知会导致β-地中海贫血的。高发人群主要分布在地中海、中东、外高加索、中亚和印度次大陆。根据报道，该疾病发生率最高的依次为塞浦路斯（14%）、撒丁岛（12%）和东南亚。	β地贫的治疗主要有两种：1）常规输血结合铁螯合疗法在过去的40年中显著增加了患者存活率。目前正在评估新型口服铁螯合剂和MRI对心脏铁负荷监测的临床应用，以确定其对发病率和死亡率的影响。2006年，作为治疗β地贫铁过载的口服铁螯合剂deferasirox获得欧盟上市许可。另一种获得上市许可的去铁酮仅限于用于去铁胺治疗失败或禁忌的病例。2）造血干细胞移植是治疗β地贫的主要方法。2011年，第一例患者成功接受了基因治疗。	确切发病率未知，但世界范围内每年新生儿中的发病率为1/100,000，在中东、东南亚、印度和中国发病率更高。	是
SEA-HPFH	该变异为缺失变异，会导致β基因缺失。已有该变异致病性的相关文献报道 [1-2]。依据ACMG指南，HBB基因的SEA-HPFH变异为致病变异。	β-地中海贫血		致病变异	He S, et al. The prevalence and molecular characterization of (δβ) 0‐thalassemia and hereditary persistence of fetal hemoglobin in the Chinese Zhuang population. Journal of clinical laboratory analysis, 2018, 32(3): e22304<br/>Xu X M,et al. Molecular characterization and PCR detection of a deletional HPFH: application to rapid prenatal diagnosis for compound heterozygotes of this defect with β‐thalassemia in a Chinese family. American journal of hematology, 2000, 65(3): 183-188	HBB	11	NM_000518.4	Beta-thalassemia	AR	β-地中海贫血是一种常染色体隐性遗传疾病，该病的特征是血红蛋白β亚基（血红蛋白β链）合成减少，导致小细胞低色素性贫血，外周血涂片显示核红细胞异形明显，血红蛋白a数目减少。地中海贫血患者一般都有严重的贫血和肝脾肿大。如不治疗，受累儿童会有严重的发育停滞并且会缩短寿命。HBB基因突变是已知会导致β-地中海贫血的。高发人群主要分布在地中海、中东、外高加索、中亚和印度次大陆。根据报道，该疾病发生率最高的依次为塞浦路斯（14%）、撒丁岛（12%）和东南亚。	β地贫的治疗主要有两种：1）常规输血结合铁螯合疗法在过去的40年中显著增加了患者存活率。目前正在评估新型口服铁螯合剂和MRI对心脏铁负荷监测的临床应用，以确定其对发病率和死亡率的影响。2006年，作为治疗β地贫铁过载的口服铁螯合剂deferasirox获得欧盟上市许可。另一种获得上市许可的去铁酮仅限于用于去铁胺治疗失败或禁忌的病例。2）造血干细胞移植是治疗β地贫的主要方法。2011年，第一例患者成功接受了基因治疗。	确切发病率未知，但世界范围内每年新生儿中的发病率为1/100,000，在中东、东南亚、印度和中国发病率更高。	是
Taiwanese	该变异为缺失变异，会导致β基因缺失。已有该变异致病性的相关文献报道 [1-2]。依据ACMG指南，HBB基因的台湾型变异为致病变异。	β-地中海贫血		致病变异	杜丽, 秦丹卿, 刘玲,等. 台湾型缺失β地中海贫血的基因诊断、产前诊断和植入前遗传学诊断[J]. 中国实验血液学杂志, 2019(5).<br/>Huang C H, Chang Y Y, Chen C H, et al. Molecular characterization of a β-globin gene deletion of 1357 bp in a Taiwanese β-thalassemia carrier[J]. Hemoglobin, 2008, 32(5): 498-504.<br/>Lou J W , Li Q , Wei X F , et al. Identification of the Linkage of a 1.357 KB β-Globin Gene Deletion and A γ-Globin Gene Triplication in a Chinese Family[J]. Hemoglobin, 2010, 34(4):343-353.	HBB	11	NM_000518.4	Beta-thalassemia	AR	β-地中海贫血是一种常染色体隐性遗传疾病，该病的特征是血红蛋白β亚基（血红蛋白β链）合成减少，导致小细胞低色素性贫血，外周血涂片显示核红细胞异形明显，血红蛋白a数目减少。地中海贫血患者一般都有严重的贫血和肝脾肿大。如不治疗，受累儿童会有严重的发育停滞并且会缩短寿命。HBB基因突变是已知会导致β-地中海贫血的。高发人群主要分布在地中海、中东、外高加索、中亚和印度次大陆。根据报道，该疾病发生率最高的依次为塞浦路斯（14%）、撒丁岛（12%）和东南亚。	β地贫的治疗主要有两种：1）常规输血结合铁螯合疗法在过去的40年中显著增加了患者存活率。目前正在评估新型口服铁螯合剂和MRI对心脏铁负荷监测的临床应用，以确定其对发病率和死亡率的影响。2006年，作为治疗β地贫铁过载的口服铁螯合剂deferasirox获得欧盟上市许可。另一种获得上市许可的去铁酮仅限于用于去铁胺治疗失败或禁忌的病例。2）造血干细胞移植是治疗β地贫的主要方法。2011年，第一例患者成功接受了基因治疗。	确切发病率未知，但世界范围内每年新生儿中的发病率为1/100,000，在中东、东南亚、印度和中国发病率更高。	是
EX7 DEL	该变异为缺失变异，会导致其所在基因的第7号外显子发生缺失。已有该变异致病性的相关文献报道 [1-5]。依据ACMG指南，SMN1基因的EX7 DEL变异为致病变异。	脊髓性肌肉萎缩症		致病变异	Mazzei R, et al. Gene conversion events in adult‐onset spinal muscular atrophy. Acta neurologica scandinavica, 2004, 109(2): 151-154<br/>Ogino S, Wilson R B. Genetic testing and risk assessment for spinal muscular atrophy (SMA). Human genetics, 2002, 111(6): 477-500<br/>Alías L, et al. Mutation update of spinal muscular atrophy in Spain: molecular characterization of 745 unrelated patients and identification of four novel mutations in the SMN1 gene. Human genetics, 2009, 125(1): 29-39	SMN1	5	NM_000344.3		AR	脊髓性肌肉萎缩症是一种影响控制肌肉运动的遗传疾病。它是由脊髓和连接到脊髓（脑干）部分的特殊神经细胞（称为运动神经元）的丧失引起的。运动神经元的丧失导致了用于爬行、行走、坐起和控制头部运动的肌肉的衰弱和萎缩。在严重的患者中，用于呼吸和吞咽的肌肉也会受到影响。脊髓性肌肉萎缩症有很多种类型，通过疾病的临床表型、肌肉无力的严重程度以及肌肉问题开始时的年龄进行分类。I型脊髓性肌萎缩症（也称为Werdnig-Hoffman disease）是一种严重的疾病，在出生或出生后的头几个月内就会出现。受影响的婴儿发育迟缓；大多数人都无法支撑自己的头部或无法坐立。这种类型的儿童有呼吸和吞咽问题，可能导致窒息或呕吐。II型脊髓性肌肉萎缩症的特点是6至12个月的儿童出现肌肉无力。II型的儿童可以不受支持地坐着，但他们需要在帮助下才能调整坐姿。这种类型的患者不能独自站立或行走。III型脊髓性肌肉萎缩症（也称为库格伯格-韦兰病或青少年型）的症状较轻，通常发生在儿童早期和青春期之间。患有III型脊髓性肌肉萎缩症的人可以独自站立和行走，但行走和爬楼梯可能会变得越来越困难。很多患者在以后的生活中可能需要坐轮椅。IV型脊髓性肌肉萎缩症症状通常发生在30岁以后。受影响的人通常会出现轻微至中度的肌肉无力、震颤、抽搐或轻微的呼吸问题。只有靠近身体中心的肌肉（近端肌肉），如上臂和腿部，才会受到IV型脊髓性肌肉萎缩症的影响。	治疗：应关注患者的营养问题，发病早期可接受胃造管术；建议多咨询对该病症熟悉的肺脏专家；对呼吸功能恶化的患者，建议接受气管切开术或无创呼吸支持；针对脊柱侧凸的手术治疗应考虑肺功能、骨成熟度等。监测：对于儿童患者，应至少6个月接受一次对营养状态、呼吸功能和校正状态的评估。	1/10,000-1/8,000	是
EX10_11 DEL	该变异为缺失变异，会导致DMD基因的第10-11号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_11 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-11	致病变异	Janssen B, et al. MLPA analysis for the detection of deletions, duplications and complex rearrangements in the dystrophin gene: potential and pitfalls. Neurogenetics.2005 Feb;6(1):29-35	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
