entrez_id	基因
34	ACADM
35	ACADS
36	ACADSB
37	ACADVL
38	ACAT1
178	AGL
190	NR0B1
249	ALPL
275	AMT
331	XIAP
383	ARG1
411	ARSB
435	ASL
445	ASS1
501	ALDH7A1
538	ATP7A
540	ATP7B
549	AUH
593	BCKDHA
594	BCKDHB
686	BTD
695	BTK
788	SLC25A20
875	CBS
959	CD40LG
1080	CFTR
1180	CLCN1
1285	COL4A3
1286	COL4A4
1287	COL4A5
1373	CPS1
1374	CPT1A
1376	CPT2
1536	CYBB
1584	CYP11B1
1586	CYP17A1
1593	CYP27A1
1629	DBT
1687	GSDME
1756	DMD
1991	ELANE
2110	ETFDH
2175	FANCA
2184	FAH
2260	FGFR1
2538	G6PC
2539	G6PD
2542	SLC37A4
2548	GAA
2581	GALC
2582	GALE
2584	GALK1
2588	GALNS
2592	GALT
2632	GBE1
2639	GCDH
2706	GJB2
2707	GJB3
2717	GLA
2720	GLB1
2731	GLDC
2990	GUSB
3030	HADHA
3032	HADHB
3039	HBA1
3040	HBA2
3043	HBB
3141	HLCS
3155	HMGCL
3242	HPD
3423	IDS
3425	IDUA
3561	IL2RG
3643	INSR
3712	IVD
3730	ANOS1
3767	KCNJ11
3949	LDLR
4068	SH2D1A
4143	MAT1A
4210	MEFV
4286	MITF
4524	MTHFR
4538	MT-ND4
4549	MT-RNR1
4594	MMUT
4647	MYO7A
4669	NAGLU
4864	NPC1
5009	OTC
5053	PAH
5077	PAX3
5095	PCCA
5096	PCCB
5172	SLC26A4
5205	ATP8B1
5236	PGM1
5244	ABCB4
5251	PHEX
5255	PHKA1
5256	PHKA2
5257	PHKB
5261	PHKG2
5551	PRF1
5625	PRODH
5626	PROP1
5805	PTS
5836	PYGL
5837	PYGM
5860	QDPR
5896	RAG1
5925	RB1
6135	RPL11
6223	RPS19
6231	RPS26
6323	SCN1A
6448	SGSH
6513	SLC2A1
6559	SLC12A3
6584	SLC22A5
6606	SMN1
6609	SMPD1
6663	SOX10
6683	SPAST
6833	ABCC8
6898	TAT
7007	TECTA
7054	TH
7248	TSC1
7249	TSC2
7253	TSHR
7399	USH2A
7454	WAS
7915	ALDH5A1
8647	ABCB11
9381	OTOF
10083	USH1C
10165	SLC25A13
10166	SLC25A15
10577	NPC2
23417	MLYCD
25974	MMACHC
27034	ACAD8
50506	DUOX2
51062	ATL1
51117	COQ4
51168	MYO15A
55636	CHD7
56922	MCCC1
57526	PCDH19
64072	CDH23
64087	MCCC2
64240	ABCG5
64241	ABCG8
64699	TMPRSS3
65055	REEP1
65217	PCDH15
80208	SPG11
80270	HSD3B7
83715	ESPN
84059	ADGRV1
117531	TMC1
128674	PROKR2
133686	NADK2
146183	OTOA
153562	MARVELD2
166785	MMAA
201294	UNC13D
220074	LRTOMT
286676	ILDR1
326625	MMAB
405753	DUOXA2
