pos（统计了11组在分析的项目）	"median（vaf）该标红的区域，vaf中位数较低，怀疑可能有同源污染"	注释信息	目标区域（疑似有同源区域）	相似区域	人工检查	genename
3_10114936_10115046	0.082010582	repeatMasking=lower	chr3:10068113-10068157	chr3:10068158-1007030	相似度很高	FANCD2
3_10091057_10091189	0.180272109	repeatMasking=lower	chr3:10068113-10068157	chr3:10068158-10070308	相似度很高	FANCD2
3_10088263_10088407	0.193261945	repeatMasking=lower	chr3:10068113-10068157	chr3:10068113-10068157	相似度很高	FANCD2
2_152460082_152460286	0.193939394	repeatMasking=lower	chr2:152589635-152589699	chr2:152586171-152589634	相似度很高	NEB
16_16313678_16313804	0.224217374	repeatMasking=lower	chr16:16317256-16317328	chr16:16315689-16317255	相似度很高	ABCC6
2_152448547_152448652	0.225310399	repeatMasking=lower	chr2:152589635-152589699	chr2:152586171-152589634	相似度很高	NEB
2_152447861_152447969	0.251980907	repeatMasking=lower	chr2:152589635-152589699	chr2:152586171-152589634	相似度很高	NEB
3_10089600_10089735	0.287215412	repeatMasking=lower	chr3:10068113-10068157	chr3:10068158-10070308	相似度很高，且区域较大	FANCD2
16_16297266_16297470	0.295964126	repeatMasking=lower	chr16:16317256-16317328	chr16:16315689-16317255	相似度很高	ABCC6
16_16302584_16302716	0.350364964	repeatMasking=lower	chr16:16317256-16317328	chr16:16315689-16317255	相似度很高	ABCC6
3_10106412_10106559	0.399253731	repeatMasking=lower	chr3:10068113-10068157	chr3:10068158-10070308 	相似度很高，且区域较大	FANCD2
