Transcript	Gene Symbol	EntrezID
NM_000443.3	ABCB4	5244
NM_003742.2	ABCB11	8647
NM_000352.3	ABCC8	6833
NM_000033.3	ABCD1	215
NM_005050.3	ABCD4	5826
NM_022436.2	ABCG5	64240
NM_022437.2	ABCG8	64241
NM_001607.3	ACAA1	30
NM_006111.2	ACAA2	10449
NM_014384.2	ACAD8	27034
NM_000016.4	ACADM	34
NM_001609.3	ACADSB	36
NM_000017.2	ACADS	35
NM_000018.3	ACADVL	37
NM_000019.3	ACAT1	38
NM_174917.3	ACSF3	197322
NM_000022.2	ADA	100
NM_032119.3	ADGRV1	84059
NM_001123.3	ADK	132
NM_000642.2	AGL	178
NM_000030.2	AGXT	189
NM_000687.2	AHCY	191
NM_003748.3	ALDH4A1	8659
NM_001080.3	ALDH5A1	7915
NM_001182.4	ALDH7A1	501
NM_000035.3	ALDOB	229
NM_000478.4	ALPL	249
NM_000481.3	AMT	275
NM_000216.2	ANOS1	3730
NM_000045.3	ARG1	383
NM_000487.5	ARSA	410
NM_000046.3	ARSB	411
NM_000048.3	ASL	435
NM_000050.4	ASS1	445
NM_015915.4	ATL1	51062
NM_000052.5	ATP7A	538
NM_000053.3	ATP7B	540
NM_005603.4	ATP8B1	5205
NM_001698.2	AUH	549
NM_005504.6	BCAT1	586
NM_001190.3	BCAT2	587
NM_000709.3	BCKDHA	593
NM_183050.2	BCKDHB	594
NM_022893.3	BCL11A	53335
NM_000060.2	BTD	686
NM_000061.2	BTK	695
NM_000071.2	CBS	875
NM_000074.2	CD40LG	959
NM_016579.3	CD320	51293
NM_022124.5	CDH23	64072
NM_000492.3	CFTR	1080
NM_017780.3	CHD7	55636
NM_000083.2	CLCN1	1180
NM_030813.4	CLPB	81570
NM_000091.4	COL4A3	1285
NM_000092.4	COL4A4	1286
NM_000495.4	COL4A5	1287
NM_016035.3	COQ4	51117
NM_001875.4	CPS1	1373
NM_001876.3	CPT1A	1374
NM_000098.2	CPT2	1376
NM_000397.3	CYBB	1536
NM_000497.3	CYP11B1	1584
NM_000102.3	CYP17A1	1586
NM_000500.7	CYP21A2	1589
NM_000784.3	CYP27A1	1593
NM_001918.3	DBT	1629
NM_000108.3	DLD	1738
NM_004006.2	DMD	1756
NM_021800.2	DNAJC12	56521
NM_145261.3	DNAJC19	131118
NM_014080.4	DUOX2	50506
NM_207581.3	DUOXA2	405753
NM_001972.2	ELANE	1991
NM_031475.2	ESPN	83715
NM_000126.3	ETFA	2108
NM_001985.2	ETFB	2109
NM_004453.2	ETFDH	2110
NM_014297.3	ETHE1	23474
NM_000132.3	F8	2157
NM_000133.3	F9	2158
NM_000137.2	FAH	2184
NM_000135.2	FANCA	2175
NM_023110.2	FGFR1	2260
NM_000151.3	G6PC	2538
NM_001042351.1	G6PD	2539
NM_000152.3	GAA	2548
NM_000153.3	GALC	2581
NM_000403.3	GALE	2582
NM_000154.1	GALK1	2584
NM_000512.4	GALNS	2588
NM_000155.3	GALT	2592
NM_000156.5	GAMT	2593
NM_001005741.2	GBA	2629
NM_000158.3	GBE1	2632
NM_000159.2	GCDH	2639
NM_000161.2	GCH1	2643
NM_004483.4	GCSH	2653
NM_004004.5	GJB2	2706
NM_024009.2	GJB3	2707
NM_000169.2	GLA	2717
NM_000404.2	GLB1	2720
NM_000170.2	GLDC	2731
NM_005271.3	GLUD1	2746
NM_000405.4	GM2A	2760
NM_018960.4	GNMT	27232
NM_012203.1	GRHPR	9380
NM_004403.2	GSDME	1687
NM_000181.3	GUSB	2990
NM_000182.4	HADHA	3030
NM_000183.2	HADHB	3032
NM_005327.4	HADH	3033
NM_002108.3	HAL	3034
NM_000558.3	HBA1	3039
NM_000517.4	HBA2	3040
NM_000518.4	HBB	3043
NM_000519.3	HBD	3045
NM_000559.2	HBG1	3047
NM_000184.2	HBG2	3048
NM_001003938.3	HBM	3042
NM_005331.4	HBQ1	3049
NM_006620.3	HBS1L	10767
NM_005332.2	HBZ	3050
NM_005334.2	HCFC1	3054
NM_000520.4	HEXA	3073
NM_000521.3	HEXB	3074
NM_152419.2	HGSNAT	138050
NM_000411.6	HLCS	3141
NM_000191.2	HMGCL	3155
NM_005518.3	HMGCS2	3158
NM_138413.3	HOGA1	112817
NM_002150.2	HPD	3242
NM_000198.3	HSD3B2	3284
NM_025193.3	HSD3B7	80270
NM_004493.2	HSD17B10	3028
NM_153281.1	HYAL1	3373
NM_000202.5	IDS	3423
NM_000203.3	IDUA	3425
NM_000206.2	IL2RG	3561
NM_002185.3	IL7R	3575
NM_001199799.1	ILDR1	286676
NM_000208.2	INSR	3643
NM_002225.3	IVD	3712
NM_000214.2	JAG1	182
NM_000215.3	JAK3	3718
NM_000525.3	KCNJ11	3767
NM_006563.3	KLF1	10661
NM_000527.4	LDLR	3949
NM_018368.3	LMBRD1	55788
NM_001145308.4	LRTOMT	220074
NM_001038603.2	MARVELD2	153562
NM_000429.2	MAT1A	4143
NM_020166.3	MCCC1	56922
NM_022132.4	MCCC2	64087
NM_032601.3	MCEE	84693
NM_000243.2	MEFV	4210
NM_000248.3	MITF	4286
NM_012213.2	MLYCD	23417
NM_172250.2	MMAA	166785
NM_052845.3	MMAB	326625
NM_015506.2	MMACHC	25974
NM_015702.2	MMADHC	27249
NM_000255.3	MMUT	4594
NM_005957.4	MTHFR	4524
NM_002454.2	MTRR	4552
NM_000254.2	MTR	4548
NM_MT-ND4	MT-ND4	4538
NR_MT-RNR1	MT-RNR1	4549
NM_001130173.1	MYB	4602
NM_000260.3	MYO7A	4647
NM_016239.3	MYO15A	51168
NM_001085411.1	NADK2	133686
NM_000263.3	NAGLU	4669
NM_153006.2	NAGS	162417
NM_024408.3	NOTCH2	4853
NM_000271.4	NPC1	4864
NM_006432.3	NPC2	10577
NM_000475.4	NR0B1	190
NM_000274.3	OAT	4942
NM_025136.3	OPA3	80207
NM_000531.5	OTC	5009
NM_144672.3	OTOA	146183
NM_194248.2	OTOF	9381
NM_000277.1	PAH	5053
NM_181457.3	PAX3	5077
NM_003466.3	PAX8	7849
NM_000281.2	PCBD1	5092
NM_000282.3	PCCA	5095
NM_000532.4	PCCB	5096
NM_033056.3	PCDH15	65217
NM_001184880.1	PCDH19	57526
NM_000466.2	PEX1	5189
NM_000318.2	PEX2	5828
NM_000287.3	PEX6	5190
NM_153818.1	PEX10	5192
NM_000286.2	PEX12	5193
NM_017929.5	PEX26	55670
NM_002633.2	PGM1	5236
NM_000444.4	PHEX	5251
NM_002637.3	PHKA1	5255
NM_000292.2	PHKA2	5256
NM_000293.2	PHKB	5257
NM_000294.2	PHKG2	5261
NM_152542.4	PPM1K	152926
NM_002574.3	PRDX1	5052
NM_001083116.1	PRF1	5551
NM_016335.4	PRODH	5625
NM_144773.2	PROKR2	128674
NM_006261.4	PROP1	5626
NM_000317.2	PTS	5805
NM_002863.4	PYGL	5836
NM_005609.2	PYGM	5837
NM_000320.2	QDPR	5860
NM_000448.2	RAG1	5896
NM_000536.3	RAG2	5897
NM_000321.2	RB1	5925
NM_022912.2	REEP1	65055
NM_000975.3	RPL11	6135
NM_001022.3	RPS19	6223
NM_001029.3	RPS26	6231
NM_016038.2	SBDS	51119
NM_001165963.1	SCN1A	6323
NM_032861.3	SERAC1	84947
NM_000199.3	SGSH	6448
NM_002351.4	SH2D1A	4068
NM_006516.2	SLC2A1	6513
NM_005629.3	SLC6A8	6535
NM_000339.2	SLC12A3	6559
NM_003060.3	SLC22A5	6584
NM_014251.2	SLC25A13	10165
NM_014252.3	SLC25A15	10166
NM_000387.5	SLC25A20	788
NM_000441.1	SLC26A4	5172
NM_001164277.1	SLC37A4	2542
NM_024531.4	SLC52A2	79581
NM_033409.3	SLC52A3	113278
NM_000344.3	SMN1	6606
NM_000543.4	SMPD1	6609
NM_006941.3	SOX10	6663
NM_014946.3	SPAST	6683
NM_025137.3	SPG11	80208
NM_003124.4	SPR	6697
NM_000349.2	STAR	6770
NM_153700.2	STRC	161497
NM_003850.2	SUCLA2	8803
NM_003849.3	SUCLG1	8802
NM_024728.2	SUGCT	79783
NM_000353.2	TAT	6898
NM_000116.3	TAZ	6901
NM_000355.3	TCN2	6948
NM_005422.2	TECTA	7007
NM_003235.4	TG	7038
NM_020457.2	THAP11	57215
NM_199292.2	TH	7054
NM_138691.2	TMC1	117531
NM_024022.2	TMPRSS3	64699
NM_000547.5	TPO	7173
NM_000368.4	TSC1	7248
NM_000548.3	TSC2	7249
NM_000369.2	TSHR	7253
NM_000463.2	UGT1A1	54658
NM_199242.2	UNC13D	201294
NM_005709.3	USH1C	10083
NM_206933.2	USH2A	7399
NM_000377.2	WAS	7454
NM_001167.3	XIAP	331
NM_003442.5	ZNF143	7702
